BS.pilon.polished.v3.ST170922	Bacillus subtilis
34076	Cryptococcus neoformans
35312	Cryptococcus neoformans
34941	Cryptococcus neoformans
34323	Cryptococcus neoformans
34677	Cryptococcus neoformans
34713	Cryptococcus neoformans
34177	Cryptococcus neoformans
35132	Cryptococcus neoformans
33960	Cryptococcus neoformans
35781	Cryptococcus neoformans
35630	Cryptococcus neoformans
34322	Cryptococcus neoformans
33666	Cryptococcus neoformans
34457	Cryptococcus neoformans
34549	Cryptococcus neoformans
34952	Cryptococcus neoformans
34529	Cryptococcus neoformans
35739	Cryptococcus neoformans
34418	Cryptococcus neoformans
34532	Cryptococcus neoformans
34378	Cryptococcus neoformans
34465	Cryptococcus neoformans
35334	Cryptococcus neoformans
34100	Cryptococcus neoformans
34010	Cryptococcus neoformans
30189	Cryptococcus neoformans
34702	Cryptococcus neoformans
34337	Cryptococcus neoformans
34718	Cryptococcus neoformans
34662	Cryptococcus neoformans
35796	Cryptococcus neoformans
34559	Cryptococcus neoformans
33966	Cryptococcus neoformans
34299	Cryptococcus neoformans
24351	Cryptococcus neoformans
34198	Cryptococcus neoformans
33925	Cryptococcus neoformans
33889	Cryptococcus neoformans
33919	Cryptococcus neoformans
34972	Cryptococcus neoformans
35289	Cryptococcus neoformans
33806	Cryptococcus neoformans
35019	Cryptococcus neoformans
34157	Cryptococcus neoformans
34667	Cryptococcus neoformans
34992	Cryptococcus neoformans
33847	Cryptococcus neoformans
35200	Cryptococcus neoformans
34971	Cryptococcus neoformans
34167	Cryptococcus neoformans
34603	Cryptococcus neoformans
33915	Cryptococcus neoformans
34538	Cryptococcus neoformans
34581	Cryptococcus neoformans
33661	Cryptococcus neoformans
34686	Cryptococcus neoformans
35296	Cryptococcus neoformans
35689	Cryptococcus neoformans
35482	Cryptococcus neoformans
33917	Cryptococcus neoformans
34528	Cryptococcus neoformans
34068	Cryptococcus neoformans
33675	Cryptococcus neoformans
18843	Cryptococcus neoformans
35526	Cryptococcus neoformans
34800	Cryptococcus neoformans
34112	Cryptococcus neoformans
34163	Cryptococcus neoformans
34852	Cryptococcus neoformans
34923	Cryptococcus neoformans
34477	Cryptococcus neoformans
34399	Cryptococcus neoformans
35260	Cryptococcus neoformans
33978	Cryptococcus neoformans
34627	Cryptococcus neoformans
35532	Cryptococcus neoformans
35223	Cryptococcus neoformans
34732	Cryptococcus neoformans
35180	Cryptococcus neoformans
34517	Cryptococcus neoformans
34335	Cryptococcus neoformans
35017	Cryptococcus neoformans
34145	Cryptococcus neoformans
35794	Cryptococcus neoformans
34039	Cryptococcus neoformans
34694	Cryptococcus neoformans
34029	Cryptococcus neoformans
35797	Cryptococcus neoformans
35022	Cryptococcus neoformans
35018	Cryptococcus neoformans
33802	Cryptococcus neoformans
35641	Cryptococcus neoformans
34444	Cryptococcus neoformans
34308	Cryptococcus neoformans
35552	Cryptococcus neoformans
35033	Cryptococcus neoformans
34119	Cryptococcus neoformans
33880	Cryptococcus neoformans
34474	Cryptococcus neoformans
34084	Cryptococcus neoformans
35556	Cryptococcus neoformans
33774	Cryptococcus neoformans
35127	Cryptococcus neoformans
33820	Cryptococcus neoformans
34647	Cryptococcus neoformans
34201	Cryptococcus neoformans
35609	Cryptococcus neoformans
34385	Cryptococcus neoformans
35061	Cryptococcus neoformans
35095	Cryptococcus neoformans
34258	Cryptococcus neoformans
35639	Cryptococcus neoformans
35110	Cryptococcus neoformans
35431	Cryptococcus neoformans
34682	Cryptococcus neoformans
35742	Cryptococcus neoformans
35303	Cryptococcus neoformans
33913	Cryptococcus neoformans
35394	Cryptococcus neoformans
33924	Cryptococcus neoformans
35280	Cryptococcus neoformans
35566	Cryptococcus neoformans
34987	Cryptococcus neoformans
35374	Cryptococcus neoformans
35784	Cryptococcus neoformans
35724	Cryptococcus neoformans
33945	Cryptococcus neoformans
34275	Cryptococcus neoformans
35177	Cryptococcus neoformans
35316	Cryptococcus neoformans
35501	Cryptococcus neoformans
35071	Cryptococcus neoformans
35146	Cryptococcus neoformans
35519	Cryptococcus neoformans
35138	Cryptococcus neoformans
34839	Cryptococcus neoformans
35025	Cryptococcus neoformans
35495	Cryptococcus neoformans
33990	Cryptococcus neoformans
35814	Cryptococcus neoformans
